member_id,time,lat,lon,TREFHT
9,1990-06-12 00:00:00,40.0523560209424,245.0,287.39215
9,1990-06-13 00:00:00,40.0523560209424,245.0,289.3507
9,1990-06-14 00:00:00,40.0523560209424,245.0,288.42822
9,1990-06-15 00:00:00,40.0523560209424,245.0,288.4352
9,1990-06-16 00:00:00,40.0523560209424,245.0,292.54
9,1990-06-17 00:00:00,40.0523560209424,245.0,292.41302
9,1990-06-18 00:00:00,40.0523560209424,245.0,289.46594
9,1990-06-19 00:00:00,40.0523560209424,245.0,291.93927
9,1990-06-20 00:00:00,40.0523560209424,245.0,291.94968
9,1990-06-21 00:00:00,40.0523560209424,245.0,292.39175
9,1990-06-22 00:00:00,40.0523560209424,245.0,293.01642
9,1990-06-23 00:00:00,40.0523560209424,245.0,292.96344
9,1990-06-24 00:00:00,40.0523560209424,245.0,293.74173
9,1990-06-25 00:00:00,40.0523560209424,245.0,294.91486
9,1990-06-26 00:00:00,40.0523560209424,245.0,293.8428
9,1990-06-27 00:00:00,40.0523560209424,245.0,294.37863
9,1990-06-28 00:00:00,40.0523560209424,245.0,295.1326
9,1990-06-29 00:00:00,40.0523560209424,245.0,294.83765
9,1990-06-30 00:00:00,40.0523560209424,245.0,295.50916
9,1990-07-01 00:00:00,40.0523560209424,245.0,296.6065
9,1990-07-02 00:00:00,40.0523560209424,245.0,296.63803
9,1990-07-03 00:00:00,40.0523560209424,245.0,296.8006
9,1990-07-04 00:00:00,40.0523560209424,245.0,295.6731
9,1990-07-05 00:00:00,40.0523560209424,245.0,295.31122
9,1990-07-06 00:00:00,40.0523560209424,245.0,295.64462
9,1990-07-07 00:00:00,40.0523560209424,245.0,296.51114
9,1990-07-08 00:00:00,40.0523560209424,245.0,297.4192
9,1990-07-09 00:00:00,40.0523560209424,245.0,297.90475
9,1990-07-10 00:00:00,40.0523560209424,245.0,298.1033
9,1990-07-11 00:00:00,40.0523560209424,245.0,296.85248
9,1990-07-12 00:00:00,40.0523560209424,245.0,296.3813
9,1990-07-13 00:00:00,40.0523560209424,245.0,296.04422
9,1990-07-14 00:00:00,40.0523560209424,245.0,295.49808
9,1990-07-15 00:00:00,40.0523560209424,245.0,293.95776
9,1990-07-16 00:00:00,40.0523560209424,245.0,294.21677
9,1990-07-17 00:00:00,40.0523560209424,245.0,294.73517
9,1990-07-18 00:00:00,40.0523560209424,245.0,294.42166
9,1990-07-19 00:00:00,40.0523560209424,245.0,294.52823
9,1990-07-20 00:00:00,40.0523560209424,245.0,293.55026
9,1990-07-21 00:00:00,40.0523560209424,245.0,294.7924
9,1990-07-22 00:00:00,40.0523560209424,245.0,296.2658
9,1990-07-23 00:00:00,40.0523560209424,245.0,297.1666
9,1990-07-24 00:00:00,40.0523560209424,245.0,298.42184
9,1990-07-25 00:00:00,40.0523560209424,245.0,299.6727
9,1990-07-26 00:00:00,40.0523560209424,245.0,299.6922
9,1990-07-27 00:00:00,40.0523560209424,245.0,300.19724
9,1990-07-28 00:00:00,40.0523560209424,245.0,300.11346
9,1990-07-29 00:00:00,40.0523560209424,245.0,298.90826
9,1990-07-30 00:00:00,40.0523560209424,245.0,297.6665
9,1990-07-31 00:00:00,40.0523560209424,245.0,297.48648
9,1990-08-01 00:00:00,40.0523560209424,245.0,295.67667
9,1990-08-02 00:00:00,40.0523560209424,245.0,298.41287
9,1990-08-03 00:00:00,40.0523560209424,245.0,298.57336
9,1990-08-04 00:00:00,40.0523560209424,245.0,298.56342
9,1990-08-05 00:00:00,40.0523560209424,245.0,299.09845
9,1990-08-06 00:00:00,40.0523560209424,245.0,301.06436
9,1990-08-07 00:00:00,40.0523560209424,245.0,298.5459
9,1990-08-08 00:00:00,40.0523560209424,245.0,298.218
9,1990-08-09 00:00:00,40.0523560209424,245.0,297.74625
9,1990-08-10 00:00:00,40.0523560209424,245.0,296.82605
9,1990-08-11 00:00:00,40.0523560209424,245.0,296.73236
9,1990-08-12 00:00:00,40.0523560209424,245.0,296.743
9,1990-08-13 00:00:00,40.0523560209424,245.0,296.41797
9,1990-08-14 00:00:00,40.0523560209424,245.0,296.50876
9,1990-08-15 00:00:00,40.0523560209424,245.0,296.32117
9,1990-08-16 00:00:00,40.0523560209424,245.0,295.79276
9,1990-08-17 00:00:00,40.0523560209424,245.0,295.94797
9,1990-08-18 00:00:00,40.0523560209424,245.0,294.1989
9,1990-08-19 00:00:00,40.0523560209424,245.0,294.76562
9,1990-08-20 00:00:00,40.0523560209424,245.0,295.6242
9,1990-08-21 00:00:00,40.0523560209424,245.0,295.77795
9,1990-08-22 00:00:00,40.0523560209424,245.0,295.72525
9,1990-08-23 00:00:00,40.0523560209424,245.0,294.93585
9,1990-08-24 00:00:00,40.0523560209424,245.0,293.82037
9,1990-08-25 00:00:00,40.0523560209424,245.0,293.4167
9,1990-08-26 00:00:00,40.0523560209424,245.0,294.34045
9,1990-08-27 00:00:00,40.0523560209424,245.0,295.96066
9,1990-08-28 00:00:00,40.0523560209424,245.0,292.21298
9,1990-08-29 00:00:00,40.0523560209424,245.0,291.49585
9,1990-08-30 00:00:00,40.0523560209424,245.0,291.72186
9,1990-08-31 00:00:00,40.0523560209424,245.0,293.68915
9,1990-09-01 00:00:00,40.0523560209424,245.0,294.64264
9,1990-09-02 00:00:00,40.0523560209424,245.0,294.3414
9,1990-09-03 00:00:00,40.0523560209424,245.0,293.96506
9,1990-09-04 00:00:00,40.0523560209424,245.0,292.83978
9,1990-09-05 00:00:00,40.0523560209424,245.0,292.63974
9,1990-09-06 00:00:00,40.0523560209424,245.0,293.18668
9,1990-09-07 00:00:00,40.0523560209424,245.0,294.46594
9,1990-09-08 00:00:00,40.0523560209424,245.0,293.95874
9,1990-09-09 00:00:00,40.0523560209424,245.0,292.43716
9,1990-09-10 00:00:00,40.0523560209424,245.0,293.1344
9,1990-09-11 00:00:00,40.0523560209424,245.0,295.40485
9,1990-09-12 00:00:00,40.0523560209424,245.0,292.02893
9,1990-09-13 00:00:00,40.0523560209424,245.0,291.3304
9,1990-09-14 00:00:00,40.0523560209424,245.0,290.68182
9,1990-09-15 00:00:00,40.0523560209424,245.0,291.05432
9,1990-09-16 00:00:00,40.0523560209424,245.0,290.86255
9,1990-09-17 00:00:00,40.0523560209424,245.0,292.30026
9,1990-09-18 00:00:00,40.0523560209424,245.0,292.44022
9,1990-09-19 00:00:00,40.0523560209424,245.0,290.79242
9,1990-09-20 00:00:00,40.0523560209424,245.0,288.35703
9,1990-09-21 00:00:00,40.0523560209424,245.0,288.35034
9,1990-09-22 00:00:00,40.0523560209424,245.0,287.52484
9,1990-09-23 00:00:00,40.0523560209424,245.0,281.47086
9,1990-09-24 00:00:00,40.0523560209424,245.0,285.75247
9,1990-09-25 00:00:00,40.0523560209424,245.0,288.35443
9,1990-09-26 00:00:00,40.0523560209424,245.0,286.75467
9,1990-09-27 00:00:00,40.0523560209424,245.0,284.21616
9,1990-09-28 00:00:00,40.0523560209424,245.0,283.61304
9,1990-09-29 00:00:00,40.0523560209424,245.0,283.46707
9,1990-09-30 00:00:00,40.0523560209424,245.0,287.31122
9,1990-10-01 00:00:00,40.0523560209424,245.0,284.14902
9,1990-10-02 00:00:00,40.0523560209424,245.0,281.11185
9,1990-10-03 00:00:00,40.0523560209424,245.0,284.3176
9,1990-10-04 00:00:00,40.0523560209424,245.0,286.2547
9,1990-10-05 00:00:00,40.0523560209424,245.0,285.94897
9,1990-10-06 00:00:00,40.0523560209424,245.0,285.0794
9,1990-10-07 00:00:00,40.0523560209424,245.0,285.6115
9,1990-10-08 00:00:00,40.0523560209424,245.0,284.76733
9,1990-10-09 00:00:00,40.0523560209424,245.0,284.16394
9,1990-10-10 00:00:00,40.0523560209424,245.0,285.05807
9,1990-10-11 00:00:00,40.0523560209424,245.0,285.612
9,1990-10-12 00:00:00,40.0523560209424,245.0,284.7081
9,1990-10-13 00:00:00,40.0523560209424,245.0,285.18738
9,1990-10-14 00:00:00,40.0523560209424,245.0,287.63583
9,1990-10-15 00:00:00,40.0523560209424,245.0,288.10278
9,1990-10-16 00:00:00,40.0523560209424,245.0,287.69977
9,1990-10-17 00:00:00,40.0523560209424,245.0,286.76895
9,1990-10-18 00:00:00,40.0523560209424,245.0,286.25735
9,1990-10-19 00:00:00,40.0523560209424,245.0,285.72394
