frequency,variable,scenario,grid,biascorrection,member_id,gcm,rcm,path
day,pr,hist,NAM-22i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/pr.hist.day.NAM-22i.raw.zarr
day,pr,hist,NAM-44i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/pr.hist.day.NAM-44i.raw.zarr
day,pr,hist,NAM-44i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/pr.hist.day.NAM-44i.raw.zarr
day,pr,hist,NAM-44i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/pr.hist.day.NAM-44i.raw.zarr
day,pr,hist,NAM-44i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/pr.hist.day.NAM-44i.raw.zarr
day,pr,hist,NAM-44i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/pr.hist.day.NAM-44i.raw.zarr
day,pr,rcp45,NAM-22i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/pr.rcp45.day.NAM-22i.raw.zarr
day,pr,rcp45,NAM-22i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/pr.rcp45.day.NAM-22i.raw.zarr
day,pr,rcp45,NAM-22i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/pr.rcp45.day.NAM-22i.raw.zarr
day,pr,rcp45,NAM-22i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/pr.rcp45.day.NAM-22i.raw.zarr
day,pr,rcp45,NAM-22i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/pr.rcp45.day.NAM-22i.raw.zarr
day,pr,rcp45,NAM-44i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/pr.rcp45.day.NAM-44i.raw.zarr
day,pr,rcp45,NAM-44i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/pr.rcp45.day.NAM-44i.raw.zarr
day,pr,rcp45,NAM-44i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/pr.rcp45.day.NAM-44i.raw.zarr
day,pr,rcp45,NAM-44i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/pr.rcp45.day.NAM-44i.raw.zarr
day,pr,rcp45,NAM-44i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/pr.rcp45.day.NAM-44i.raw.zarr
day,pr,rcp85,NAM-22i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/pr.rcp85.day.NAM-22i.raw.zarr
day,pr,rcp85,NAM-22i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/pr.rcp85.day.NAM-22i.raw.zarr
day,pr,rcp85,NAM-22i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/pr.rcp85.day.NAM-22i.raw.zarr
day,pr,rcp85,NAM-22i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/pr.rcp85.day.NAM-22i.raw.zarr
day,pr,rcp85,NAM-22i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/pr.rcp85.day.NAM-22i.raw.zarr
day,pr,rcp85,NAM-44i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/pr.rcp85.day.NAM-44i.raw.zarr
day,pr,rcp85,NAM-44i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/pr.rcp85.day.NAM-44i.raw.zarr
day,pr,rcp85,NAM-44i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/pr.rcp85.day.NAM-44i.raw.zarr
day,pr,rcp85,NAM-44i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/pr.rcp85.day.NAM-44i.raw.zarr
day,pr,rcp85,NAM-44i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/pr.rcp85.day.NAM-44i.raw.zarr
day,prec,eval,NAM-22i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/prec.eval.day.NAM-22i.raw.zarr
day,prec,eval,NAM-22i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/prec.eval.day.NAM-22i.raw.zarr
day,prec,eval,NAM-22i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/prec.eval.day.NAM-22i.raw.zarr
day,prec,eval,NAM-22i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/prec.eval.day.NAM-22i.raw.zarr
day,prec,eval,NAM-22i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/prec.eval.day.NAM-22i.raw.zarr
day,prec,eval,NAM-44i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/prec.eval.day.NAM-44i.raw.zarr
day,prec,eval,NAM-44i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/prec.eval.day.NAM-44i.raw.zarr
day,prec,eval,NAM-44i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/prec.eval.day.NAM-44i.raw.zarr
day,prec,eval,NAM-44i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/prec.eval.day.NAM-44i.raw.zarr
day,prec,eval,NAM-44i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/prec.eval.day.NAM-44i.raw.zarr
day,prec,hist-rcp45,NAM-22i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/prec.hist-rcp45.day.NAM-22i.raw.zarr
day,prec,hist-rcp45,NAM-22i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/prec.hist-rcp45.day.NAM-22i.raw.zarr
day,prec,hist-rcp45,NAM-22i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/prec.hist-rcp45.day.NAM-22i.raw.zarr
day,prec,hist-rcp45,NAM-22i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/prec.hist-rcp45.day.NAM-22i.raw.zarr
day,prec,hist-rcp45,NAM-22i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/prec.hist-rcp45.day.NAM-22i.raw.zarr
day,prec,hist-rcp45,NAM-44i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/prec.hist-rcp45.day.NAM-44i.raw.zarr
day,prec,hist-rcp45,NAM-44i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/prec.hist-rcp45.day.NAM-44i.raw.zarr
day,prec,hist-rcp45,NAM-44i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/prec.hist-rcp45.day.NAM-44i.raw.zarr
day,prec,hist-rcp45,NAM-44i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/prec.hist-rcp45.day.NAM-44i.raw.zarr
day,prec,hist-rcp45,NAM-44i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/prec.hist-rcp45.day.NAM-44i.raw.zarr
day,prec,hist-rcp85,NAM-22i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/prec.hist-rcp85.day.NAM-22i.raw.zarr
day,prec,hist-rcp85,NAM-22i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/prec.hist-rcp85.day.NAM-22i.raw.zarr
day,prec,hist-rcp85,NAM-22i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/prec.hist-rcp85.day.NAM-22i.raw.zarr
day,prec,hist-rcp85,NAM-22i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/prec.hist-rcp85.day.NAM-22i.raw.zarr
day,prec,hist-rcp85,NAM-22i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/prec.hist-rcp85.day.NAM-22i.raw.zarr
day,prec,hist-rcp85,NAM-44i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/prec.hist-rcp85.day.NAM-44i.raw.zarr
day,prec,hist-rcp85,NAM-44i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/prec.hist-rcp85.day.NAM-44i.raw.zarr
day,prec,hist-rcp85,NAM-44i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/prec.hist-rcp85.day.NAM-44i.raw.zarr
day,prec,hist-rcp85,NAM-44i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/prec.hist-rcp85.day.NAM-44i.raw.zarr
day,prec,hist-rcp85,NAM-44i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/prec.hist-rcp85.day.NAM-44i.raw.zarr
day,prec,hist,NAM-22i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/prec.hist.day.NAM-22i.raw.zarr
day,prec,hist,NAM-22i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/prec.hist.day.NAM-22i.raw.zarr
day,prec,hist,NAM-22i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/prec.hist.day.NAM-22i.raw.zarr
day,prec,hist,NAM-22i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/prec.hist.day.NAM-22i.raw.zarr
day,prec,hist,NAM-22i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/prec.hist.day.NAM-22i.raw.zarr
day,prec,hist,NAM-44i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/prec.hist.day.NAM-44i.raw.zarr
day,prec,hist,NAM-44i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/prec.hist.day.NAM-44i.raw.zarr
day,prec,hist,NAM-44i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/prec.hist.day.NAM-44i.raw.zarr
day,prec,hist,NAM-44i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/prec.hist.day.NAM-44i.raw.zarr
day,prec,hist,NAM-44i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/prec.hist.day.NAM-44i.raw.zarr
day,prec,rcp45,NAM-22i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/prec.rcp45.day.NAM-22i.raw.zarr
day,prec,rcp45,NAM-22i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/prec.rcp45.day.NAM-22i.raw.zarr
day,prec,rcp45,NAM-22i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/prec.rcp45.day.NAM-22i.raw.zarr
day,prec,rcp45,NAM-22i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/prec.rcp45.day.NAM-22i.raw.zarr
day,prec,rcp45,NAM-22i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/prec.rcp45.day.NAM-22i.raw.zarr
day,prec,rcp45,NAM-44i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/prec.rcp45.day.NAM-44i.raw.zarr
day,prec,rcp45,NAM-44i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/prec.rcp45.day.NAM-44i.raw.zarr
day,prec,rcp45,NAM-44i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/prec.rcp45.day.NAM-44i.raw.zarr
day,prec,rcp45,NAM-44i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/prec.rcp45.day.NAM-44i.raw.zarr
day,prec,rcp45,NAM-44i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/prec.rcp45.day.NAM-44i.raw.zarr
day,prec,rcp85,NAM-22i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/prec.rcp85.day.NAM-22i.raw.zarr
day,prec,rcp85,NAM-22i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/prec.rcp85.day.NAM-22i.raw.zarr
day,prec,rcp85,NAM-22i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/prec.rcp85.day.NAM-22i.raw.zarr
day,prec,rcp85,NAM-22i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/prec.rcp85.day.NAM-22i.raw.zarr
day,prec,rcp85,NAM-22i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/prec.rcp85.day.NAM-22i.raw.zarr
day,prec,rcp85,NAM-44i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/prec.rcp85.day.NAM-44i.raw.zarr
day,prec,rcp85,NAM-44i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/prec.rcp85.day.NAM-44i.raw.zarr
day,prec,rcp85,NAM-44i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/prec.rcp85.day.NAM-44i.raw.zarr
day,prec,rcp85,NAM-44i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/prec.rcp85.day.NAM-44i.raw.zarr
day,prec,rcp85,NAM-44i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/prec.rcp85.day.NAM-44i.raw.zarr
day,ps,eval,NAM-22i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/ps.eval.day.NAM-22i.raw.zarr
day,ps,eval,NAM-22i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/ps.eval.day.NAM-22i.raw.zarr
day,ps,eval,NAM-22i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/ps.eval.day.NAM-22i.raw.zarr
day,ps,eval,NAM-22i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/ps.eval.day.NAM-22i.raw.zarr
day,ps,eval,NAM-22i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/ps.eval.day.NAM-22i.raw.zarr
day,ps,eval,NAM-44i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/ps.eval.day.NAM-44i.raw.zarr
day,ps,eval,NAM-44i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/ps.eval.day.NAM-44i.raw.zarr
day,ps,eval,NAM-44i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/ps.eval.day.NAM-44i.raw.zarr
day,ps,eval,NAM-44i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/ps.eval.day.NAM-44i.raw.zarr
day,ps,eval,NAM-44i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/ps.eval.day.NAM-44i.raw.zarr
day,ps,hist-rcp45,NAM-22i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/ps.hist-rcp45.day.NAM-22i.raw.zarr
day,ps,hist-rcp45,NAM-22i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/ps.hist-rcp45.day.NAM-22i.raw.zarr
day,ps,hist-rcp45,NAM-22i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/ps.hist-rcp45.day.NAM-22i.raw.zarr
day,ps,hist-rcp45,NAM-22i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/ps.hist-rcp45.day.NAM-22i.raw.zarr
day,ps,hist-rcp45,NAM-22i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/ps.hist-rcp45.day.NAM-22i.raw.zarr
day,ps,hist-rcp45,NAM-44i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/ps.hist-rcp45.day.NAM-44i.raw.zarr
day,ps,hist-rcp45,NAM-44i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/ps.hist-rcp45.day.NAM-44i.raw.zarr
day,ps,hist-rcp45,NAM-44i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/ps.hist-rcp45.day.NAM-44i.raw.zarr
day,ps,hist-rcp45,NAM-44i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/ps.hist-rcp45.day.NAM-44i.raw.zarr
day,ps,hist-rcp45,NAM-44i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/ps.hist-rcp45.day.NAM-44i.raw.zarr
day,ps,hist-rcp85,NAM-22i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/ps.hist-rcp85.day.NAM-22i.raw.zarr
day,ps,hist-rcp85,NAM-22i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/ps.hist-rcp85.day.NAM-22i.raw.zarr
day,ps,hist-rcp85,NAM-22i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/ps.hist-rcp85.day.NAM-22i.raw.zarr
day,ps,hist-rcp85,NAM-22i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/ps.hist-rcp85.day.NAM-22i.raw.zarr
day,ps,hist-rcp85,NAM-22i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/ps.hist-rcp85.day.NAM-22i.raw.zarr
day,ps,hist-rcp85,NAM-44i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/ps.hist-rcp85.day.NAM-44i.raw.zarr
day,ps,hist-rcp85,NAM-44i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/ps.hist-rcp85.day.NAM-44i.raw.zarr
day,ps,hist-rcp85,NAM-44i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/ps.hist-rcp85.day.NAM-44i.raw.zarr
day,ps,hist-rcp85,NAM-44i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/ps.hist-rcp85.day.NAM-44i.raw.zarr
day,ps,hist-rcp85,NAM-44i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/ps.hist-rcp85.day.NAM-44i.raw.zarr
day,ps,hist,NAM-22i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/ps.hist.day.NAM-22i.raw.zarr
day,ps,hist,NAM-22i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/ps.hist.day.NAM-22i.raw.zarr
day,ps,hist,NAM-22i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/ps.hist.day.NAM-22i.raw.zarr
day,ps,hist,NAM-22i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/ps.hist.day.NAM-22i.raw.zarr
day,ps,hist,NAM-22i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/ps.hist.day.NAM-22i.raw.zarr
day,ps,hist,NAM-44i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/ps.hist.day.NAM-44i.raw.zarr
day,ps,hist,NAM-44i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/ps.hist.day.NAM-44i.raw.zarr
day,ps,hist,NAM-44i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/ps.hist.day.NAM-44i.raw.zarr
day,ps,hist,NAM-44i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/ps.hist.day.NAM-44i.raw.zarr
day,ps,hist,NAM-44i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/ps.hist.day.NAM-44i.raw.zarr
day,ps,rcp45,NAM-22i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/ps.rcp45.day.NAM-22i.raw.zarr
day,ps,rcp45,NAM-22i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/ps.rcp45.day.NAM-22i.raw.zarr
day,ps,rcp45,NAM-22i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/ps.rcp45.day.NAM-22i.raw.zarr
day,ps,rcp45,NAM-22i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/ps.rcp45.day.NAM-22i.raw.zarr
day,ps,rcp45,NAM-22i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/ps.rcp45.day.NAM-22i.raw.zarr
day,ps,rcp45,NAM-44i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/ps.rcp45.day.NAM-44i.raw.zarr
day,ps,rcp45,NAM-44i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/ps.rcp45.day.NAM-44i.raw.zarr
day,ps,rcp45,NAM-44i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/ps.rcp45.day.NAM-44i.raw.zarr
day,ps,rcp45,NAM-44i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/ps.rcp45.day.NAM-44i.raw.zarr
day,ps,rcp45,NAM-44i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/ps.rcp45.day.NAM-44i.raw.zarr
day,ps,rcp85,NAM-22i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/ps.rcp85.day.NAM-22i.raw.zarr
day,ps,rcp85,NAM-22i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/ps.rcp85.day.NAM-22i.raw.zarr
day,ps,rcp85,NAM-22i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/ps.rcp85.day.NAM-22i.raw.zarr
day,ps,rcp85,NAM-22i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/ps.rcp85.day.NAM-22i.raw.zarr
day,ps,rcp85,NAM-22i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/ps.rcp85.day.NAM-22i.raw.zarr
day,ps,rcp85,NAM-44i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/ps.rcp85.day.NAM-44i.raw.zarr
day,ps,rcp85,NAM-44i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/ps.rcp85.day.NAM-44i.raw.zarr
day,ps,rcp85,NAM-44i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/ps.rcp85.day.NAM-44i.raw.zarr
day,ps,rcp85,NAM-44i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/ps.rcp85.day.NAM-44i.raw.zarr
day,ps,rcp85,NAM-44i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/ps.rcp85.day.NAM-44i.raw.zarr
day,rsds,eval,NAM-22i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/rsds.eval.day.NAM-22i.raw.zarr
day,rsds,eval,NAM-22i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/rsds.eval.day.NAM-22i.raw.zarr
day,rsds,eval,NAM-22i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/rsds.eval.day.NAM-22i.raw.zarr
day,rsds,eval,NAM-22i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/rsds.eval.day.NAM-22i.raw.zarr
day,rsds,eval,NAM-22i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/rsds.eval.day.NAM-22i.raw.zarr
day,rsds,eval,NAM-44i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/rsds.eval.day.NAM-44i.raw.zarr
day,rsds,eval,NAM-44i,raw,ERA-Int.CRCM5-OUR,ERA-Int,CRCM5-OUR,s3://ncar-na-cordex/day/rsds.eval.day.NAM-44i.raw.zarr
day,rsds,eval,NAM-44i,raw,ERA-Int.RegCM4,ERA-Int,RegCM4,s3://ncar-na-cordex/day/rsds.eval.day.NAM-44i.raw.zarr
day,rsds,eval,NAM-44i,raw,ERA-Int.CanRCM4,ERA-Int,CanRCM4,s3://ncar-na-cordex/day/rsds.eval.day.NAM-44i.raw.zarr
day,rsds,eval,NAM-44i,raw,ERA-Int.WRF,ERA-Int,WRF,s3://ncar-na-cordex/day/rsds.eval.day.NAM-44i.raw.zarr
day,rsds,hist-rcp45,NAM-22i,raw,ERA-Int.CRCM5-UQAM,ERA-Int,CRCM5-UQAM,s3://ncar-na-cordex/day/rsds.hist-rcp45.day.NAM-22i.raw.zarr
